id,category,question,answer,keywords,source_document
IT-001,VPN Access,How do I request VPN access at Amdocs?,"Log in to ServiceNow at https://amdocs.service-now.com and navigate to IT Services > Network Access > VPN Request. Select your region (EMEA, Americas, or APAC), provide your Employee ID (ADM-XXXXX), business justification, and expected duration. Your manager receives an automated approval email within 15 minutes. Production access additionally requires Information Security Liaison approval.",VPN;remote access;ServiceNow;manager approval;GlobalProtect,vpn-access.md
IT-002,VPN Access,Which VPN portal address should I use for the Americas region?,"Open GlobalProtect and enter the portal address vpn-amer.amdocs.com for the Americas region. For EMEA use vpn-emea.amdocs.com and for APAC use vpn-apac.amdocs.com. Authenticate with your Amdocs email and network password, then complete Okta Verify push authentication.",VPN;GlobalProtect;Americas;portal address;region,vpn-access.md
IT-003,VPN Access,Where do I download the Amdocs VPN client?,"After VPN approval, download the Amdocs GlobalProtect client from the Company Portal on Windows or macOS, or from the internal software catalog at https://software.amdocs.internal. Do not install VPN clients from public app stores.",GlobalProtect;VPN client;Company Portal;software catalog,vpn-access.md
IT-004,VPN Access,How long can I stay connected to the Amdocs VPN?,"VPN sessions automatically disconnect after 12 hours of continuous use. Save your work before the timeout. Disconnect manually when internal resources are no longer needed, especially on personal networks.",VPN;session timeout;12 hours;disconnect,vpn-access.md
IT-005,VPN Access,Can I connect to VPN from multiple devices at the same time?,Concurrent VPN sessions are limited to two devices per user. A third connection will terminate the oldest active session. Plan accordingly if you use both a laptop and a secondary device.,VPN;concurrent sessions;multiple devices;GlobalProtect,vpn-access.md
IT-006,VPN Access,How do I report VPN connection failures?,"Submit a ServiceNow ticket under Network > VPN Connectivity Issue. Include your region, the exact error message, and your operating system version. For urgent network outages contact the NOC at noc@amdocs.com or +1-314-555-0192 (24/7).",VPN;connectivity issue;ServiceNow;NOC;troubleshooting,vpn-access.md
IT-007,VPN Access,Does Amdocs VPN use split tunneling?,Yes. Split tunneling is enabled by default so only Amdocs-bound traffic routes through the VPN. Do not attempt to disable split tunneling without IT Security approval.,VPN;split tunneling;network routing;IT Security,vpn-access.md
IT-008,VPN Access,When does contractor VPN access expire?,Contractor VPN access expires on the contract end date. Submit a renewal request in ServiceNow at least five business days before expiration to avoid interruption.,VPN;contractor;renewal;access expiration,vpn-access.md
IT-009,Password Reset,How can I reset my corporate password at Amdocs?,"Navigate to https://password.amdocs.internal and click Forgot Password. Enter your Amdocs email and Employee ID (ADM-XXXXX). Verify identity via Okta Verify push or alternative security questions, then create a new password meeting Amdocs policy requirements.",password;reset;self-service;Okta;Active Directory,password-reset.md
IT-010,Password Reset,What are the Amdocs password requirements?,"Passwords must be at least 14 characters with one uppercase letter, one lowercase letter, one number, and one special character. You cannot reuse any of your last 12 passwords. Passwords must not contain your name, Employee ID, or the word Amdocs.",password policy;complexity;security requirements,password-reset.md
